TOP 20 ENRICHED PATHWAYS
Source: hallmark.summary
Date: Tue Dec  9 18:56:17 SAST 2025

Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	Competitive.P
-	HALLMARK_MYC_TARGETS_V2	1	0.00358205	0.00358205	0	-	67.3422	28.7612	0.0193384	718	0.61039
-	HALLMARK_PANCREAS_BETA_CELLS	1	0.00117461	0.00117461	0	-	36.0665	26.9318	0.180713	732	0.762238
-	HALLMARK_ANGIOGENESIS	1	0.0146237	0.0146237	0	-	-105.938	22.2685	2.14721e-06	829	0.306693
-	HALLMARK_NOTCH_SIGNALING	1	0.0187379	0.0187379	0	-	131.501	24.3684	7.8721e-08	891	0.22977
-	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	0.00189248	0.00189248	0	-	-48.0968	28.2849	0.0892517	934	0.705295
-	HALLMARK_HEDGEHOG_SIGNALING	1	0.00796165	0.00796165	0	-	-73.846	21.1084	0.00048145	955	0.437562
-	HALLMARK_WNT_BETA_CATENIN_SIGNALING	1	0.0024752	0.0024752	0	-	-39.2155	20.1595	0.0519269	1005	0.674326
-	HALLMARK_APICAL_SURFACE	1	0.000130469	0.000130469	0	-	-13.0003	29.1431	0.655599	1150	0.913087
-	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1	0.00149561	0.00149561	0	-	-40.6296	26.8827	0.130903	1280	0.748252
-	HALLMARK_TGF_BETA_SIGNALING	1	0.00442413	0.00442413	0	-	-76.3719	29.3374	0.0093246	1299	0.569431
-	HALLMARK_INTERFERON_ALPHA_RESPONSE	1	9.8971e-10	9.8971e-10	0	-	0.0383225	31.1935	0.99902	1489	0.999001
-	HALLMARK_IL6_JAK_STAT3_SIGNALING	1	0.0027218	0.0027218	0	-	-61.6979	30.2423	0.0415104	1494	0.647353
-	HALLMARK_DNA_REPAIR	1	0.00686078	0.00686078	0	-	-100.419	30.9385	0.00119675	1963	0.48951
-	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1	1.32556e-05	1.32556e-05	0	-	6.5398	45.9968	0.886957	1970	0.978022
-	HALLMARK_COAGULATION	1	0.0649597	0.0649597	0	-	409.144	39.7498	4.54014e-24	2255	0.015984
-	HALLMARK_PEROXISOME	1	0.000518617	0.000518617	0	-	-31.2374	35.1159	0.373847	2276	0.854146
-	HALLMARK_BILE_ACID_METABOLISM	1	0.00442144	0.00442144	0	-	95.9299	36.8617	0.00934618	2427	0.587413
-	HALLMARK_ANDROGEN_RESPONSE	1	0.0247913	0.0247913	0	-	-198.555	31.8894	6.15579e-10	2464	0.162837
-	HALLMARK_MYC_TARGETS_V1	1	0.0131737	0.0131737	0	-	202.843	44.9565	6.91372e-06	2520	0.325674
-	HALLMARK_PROTEIN_SECRETION	1	0.00685578	0.00685578	0	-	134.704	41.5169	0.00120173	2575	0.486513
