TOP 20 ENRICHED PATHWAYS
Source: kegg.summary
Date: Tue Dec  9 18:56:17 SAST 2025

Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	Competitive.P
-	KEGG_FOLATE_BIOSYNTHESIS	1	0.0111402	0.0111402	0	-	49.1538	11.8588	3.58617e-05	138	0.39752
-	KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	1	0.0897149	0.0897149	0	-	124.932	10.1905	5.03334e-33	141	0.00519896
-	KEGG_ASTHMA	1	4.43633e-05	4.43633e-05	0	-	3.21197	12.3485	0.794814	149	0.956609
-	KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.000482502	0.000482502	0	-	10.8374	12.631	0.391025	203	0.860228
-	KEGG_STEROID_BIOSYNTHESIS	1	0.0156223	0.0156223	0	-	71.2438	14.4817	9.61103e-07	218	0.296541
-	KEGG_PHENYLALANINE_METABOLISM	1	6.14225e-06	6.14225e-06	0	-	1.42902	14.7651	0.922911	227	0.985403
-	KEGG_ALLOGRAFT_REJECTION	1	0.019344	0.019344	0	-	76.8718	14.0158	4.84147e-08	230	0.240952
-	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.00099758	0.00099758	0	-	15.1717	12.2945	0.217382	264	0.795441
-	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0.00467924	0.00467924	0	-	-46.2346	17.2674	0.00749525	267	0.578084
-	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.00522358	0.00522358	0	-	-24.8438	8.77933	0.00471861	270	0.55209
-	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1	0.0159396	0.0159396	0	-	-25.1526	5.06081	7.44643e-07	271	0.289342
-	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	1	0.0107742	0.0107742	0	-	-36.2825	8.90263	4.82801e-05	275	0.387722
-	KEGG_SULFUR_METABOLISM	1	0.00361511	0.00361511	0	-	27.4142	11.6545	0.0187869	291	0.631074
-	KEGG_GRAFT_VERSUS_HOST_DISEASE	1	0.0239967	0.0239967	0	-	97.6882	15.9535	1.16345e-09	292	0.180364
-	KEGG_OTHER_GLYCAN_DEGRADATION	1	0.0109374	0.0109374	0	-	-49.9197	12.1561	4.22841e-05	294	0.384323
-	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1	0.00125403	0.00125403	0	-	-19.3965	14.0173	0.166634	300	0.781844
-	KEGG_LINOLEIC_ACID_METABOLISM	1	0.00687708	0.00687708	0	-	-51.4108	15.8204	0.00118065	300	0.493101
-	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	1	0.0315353	0.0315353	0	-	-105.643	14.9917	2.76168e-12	307	0.120376
-	KEGG_RIBOFLAVIN_METABOLISM	1	0.00257057	0.00257057	0	-	-29.2859	14.7724	0.0476045	319	0.683263
-	KEGG_NITROGEN_METABOLISM	1	0.00162571	0.00162571	0	-	-27.6443	17.5427	0.115271	324	0.742651
