TOP 20 ENRICHED PATHWAYS
Source: reactome.summary
Date: Tue Dec  9 18:56:17 SAST 2025

Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	Competitive.P
-	REACTOME_DEFECTIVE_F9_ACTIVATION	1	0.00676512	0.00676512	0	-	13.4738	4.18065	0.00129578	22	0.526895
-	REACTOME_METALLOTHIONEINS_BIND_METALS	1	0.00636613	0.00636613	0	-	8.98892	2.87573	0.00180671	22	0.539092
-	REACTOME_LEUKOTRIENE_RECEPTORS	1	0.0295433	0.0295433	0	-	55.8696	8.19974	1.36538e-11	26	0.15217
-	REACTOME_FREE_FATTY_ACID_RECEPTORS	1	0.0251654	0.0251654	0	-	-58.1193	9.26294	4.56182e-10	28	0.187163
-	REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	0.0020472	0.0020472	0	-	-12.4736	7.0523	0.0771397	28	0.730854
-	REACTOME_SULFIDE_OXIDATION_TO_SULFATE	1	0.00692828	0.00692828	0	-	49.2257	15.0916	0.0011315	30	0.516697
-	REACTOME_MINERALOCORTICOID_BIOSYNTHESIS	1	0.0793727	0.0793727	0	-	104.931	9.15116	2.94873e-29	33	0.0119976
-	REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT	1	0.0434365	0.0434365	0	-	-61.0038	7.3308	1.90154e-16	34	0.070186
-	REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES	1	0.018108	0.018108	0	-	59.7876	11.2739	1.30487e-07	35	0.272945
-	REACTOME_THE_FATTY_ACID_CYCLING_MODEL	1	0.0526752	0.0526752	0	-	78.0757	8.47866	1.05739e-19	35	0.0415917
-	REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION	1	0.00210119	0.00210119	0	-	-8.4367	4.70812	0.0733396	43	0.730254
-	REACTOME_MITOCHONDRIAL_UNCOUPLING	1	0.0345816	0.0345816	0	-	76.9608	10.4129	2.39088e-13	44	0.111978
-	REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_FACTORS	1	0.00816403	0.00816403	0	-	-39.7489	11.2191	0.000407559	44	0.469706
-	REACTOME_TRAFFICKING_OF_MYRISTOYLATED_PROTEINS_TO_THE_CILIUM	1	0.00075079	0.00075079	0	-	-6.70692	6.26565	0.284596	44	0.834233
-	REACTOME_PHOSPHORYLATION_OF_EMI1	1	0.0239407	0.0239407	0	-	-63.033	10.3063	1.21685e-09	46	0.19816
-	REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	1	0.00552999	0.00552999	0	-	-23.2955	7.99964	0.00364262	46	0.553689
-	REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS	1	0.0193471	0.0193471	0	-	-36.9923	6.74414	4.82946e-08	47	0.253149
-	REACTOME_VASOPRESSIN_LIKE_RECEPTORS	1	0.0596772	0.0596772	0	-	85.2931	8.66988	3.47387e-22	47	0.0305939
-	REACTOME_LIPID_PARTICLE_ORGANIZATION	1	0.00720769	0.00720769	0	-	-31.1951	9.37526	0.000897475	49	0.504099
-	REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION	1	0.000668931	0.000668931	0	-	13.0431	12.9095	0.312489	50	0.84883
